Station ID,region,Latitude,Longitude
12008,City of Windsor (Essex County),42.315778,-83.043667
12016,City of Windsor (Essex County),42.292889,-83.073139
13001,Municipality of Chatham-Kent,42.403694,-82.208306
14111,Lambton County,42.990263,-82.395341
15020,Lambton County,43.333084,-81.74289
15026,Middlesex County,42.974485,-81.200813
16015,Elgin County,42.672127,-81.162948
18007,Bruce County,44.314472,-81.549722
21005,City of Brantford (Brant County),43.138611,-80.292639
26060,Region of Waterloo,43.443833,-80.503806
27067,Regional Municipality of Niagara,43.160056,-79.23475
28028,Wellington County,43.551611,-80.264167
29000,City of Hamilton,43.25778,-79.861664
29118,City of Hamilton,43.257444,-79.90775
29214,City of Hamilton,43.241324,-79.889328
31129,City of Toronto,43.645451,-79.3891
33003,City of Toronto,43.747917,-79.274056
34021,City of Toronto,43.78047,-79.467372
35125,City of Toronto,43.709444,-79.5435
44008,Regional Municipality of Halton,43.314603,-79.80277
44017,Regional Municipality of Halton,43.486917,-79.702278
44029,Regional Municipality of Halton,43.52965,-79.862449
45027,Regional Municipality of Durham,43.952248,-78.91252
46090,Regional Municipality of Peel,43.669911,-79.766589
46108,Regional Municipality of Peel,43.546174,-79.658797
47045,Simcoe County,44.382338,-79.702446
48006,Regional Municipality of York,44.044306,-79.48325
49005,District of Parry Sound,45.338261,-80.039269
49010,District Municipality of Muskoka,45.224278,-78.932944
51001,City of Ottawa,45.434333,-75.676
51010,Renfrew County,45.996722,-77.441194
52023,City of Kingston (Frontenac County),44.219953,-76.521143
54012,Hastings County,44.150528,-77.3955
56051,"Stormont, Dundas and Glengarry",45.017976,-74.735339
59006,Peterborough County,44.301918,-78.34622
63203,Thunder Bay District,48.379389,-89.290167
71078,Algoma District,46.533194,-84.309917
75010,Nipissing District,46.3225,-79.44945
77233,Greater Sudbury,46.492002,-81.003099
