Station ID,region
12008,City of Windsor (Essex County)
12016,City of Windsor (Essex County)
13001,Municipality of Chatham-Kent
14111,Lambton County
15020,Lambton County
15026,Middlesex County
16015,Elgin County
18007,Bruce County
21005,City of Brantford (Brant County)
26060,Region of Waterloo
27067,Regional Municipality of Niagara
28028,Wellington County
29000,City of Hamilton
29118,City of Hamilton
29214,City of Hamilton
31129,City of Toronto
33003,City of Toronto
34021,City of Toronto
35125,City of Toronto
44008,Regional Municipality of Halton
44017,Regional Municipality of Halton
44029,Regional Municipality of Halton
45027,Regional Municipality of Durham
46090,Regional Municipality of Peel
46108,Regional Municipality of Peel
47045,Simcoe County
48006,Regional Municipality of York
49005,District of Parry Sound
49010,District Municipality of Muskoka
51001,City of Ottawa
51010,Renfrew County
52023,City of Kingston (Frontenac County)
54012,Hastings County
56051,"Stormont, Dundas and Glengarry"
59006,Peterborough County
63203,Thunder Bay District
71078,Algoma District
75010,Nipissing District
77233,Greater Sudbury
